version,stage,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,rows,dataframe_bytes
before,total,17.670748699998512,189865984,2183290880,150536192,2267824128,1993424896,2301026304,3450773504,0.05,,
before,load_room_table,4.090465000001132,190050304,2183159808,150601728,2267824128,1993109504,2301026304,3450773504,0.05,2527150.0,672222032.0
before,select_target,1.0629755000009027,807583744,1454813184,772521984,1420795904,647229440,2301026304,4179075072,0.05,,
before,build_dataset,0.14742350000051374,769384448,781512704,733065216,745267200,12128256,2301026304,4852834304,0.05,50543.0,6065160.0
before,common_support_h1,5.4322637999994186,206913536,410181632,166047744,365854720,203268096,2301026304,5241757696,0.05,,
before,common_support_h3,2.973212400000193,383836160,417808384,339599360,376651776,33972224,2301026304,5125738496,0.05,,
before,common_support_h6,2.983087799999339,396013568,434212864,351612928,390049792,38199296,2301026304,5062356992,0.05,,
after,total,14.976539500001309,188870656,1045798912,149180416,1045729280,856928256,1083916288,4641542144,0.05,,
after,load_room_table,2.9801571000007243,189558784,1045995520,149524480,1045729280,856436736,1083916288,4641406976,0.05,2527150.0,368964032.0
after,select_target,0.4659365000006801,500297728,748896256,461811712,725213184,248598528,1083916288,4937170944,0.05,,
after,build_dataset,0.1267441999989387,462610432,467304448,421842944,430702592,4694016,1083916288,5215010816,0.05,50543.0,6065160.0
after,common_support_h1,4.7185043999998015,205271040,412397568,164380672,368058368,207126528,1083916288,5291376640,0.05,,
after,common_support_h3,2.896158999999898,383918080,417935360,339083264,373334016,34017280,1083916288,5277839360,0.05,,
after,common_support_h6,2.858270700000503,395476992,435728384,349995008,390262784,40251392,1083916288,5262102528,0.05,,
