horizon,left_role,right_role,n_left,n_right,left_origin_min,left_origin_max,left_target_max,right_origin_min,right_origin_max,right_target_min,right_target_max,target_overlap_count,row_overlap_count,shared_groups,run_intersections,left_membership_sha256,right_membership_sha256
1,fit,calibration,29719,9907,2021-01-08 00:00:00,2021-08-02 09:00:00,2021-08-02 09:10:00,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,0,0,,0,197ca2126db8a6d54c51df4c1e25522291e7fe61047c6620379e662e13aa1aa7,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac
1,calibration,test,9907,9907,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-10-10 04:30:00,2021-10-10 04:40:00,2021-12-17 23:40:00,2021-10-10 04:50:00,2021-12-17 23:50:00,0,0,,0,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac,77c805ec1206f5f4b8d69c832dbcdd0c7a9105f7eb908635b0cdce64c5e7f6d4
1,inner0_train,inner0_validation,9905,9905,2021-01-08 00:00:00,2021-03-17 18:40:00,2021-03-17 18:50:00,2021-03-17 19:00:00,2021-05-25 13:40:00,2021-03-17 19:10:00,2021-05-25 13:50:00,0,0,,0,858dadfb167b05cfdd85ef43e9966c224bc071a247182f46793bfa76b885b60a,c6e19624d0362c4bd29f3fb03ca85cd8bea428fe0ac5cf9fe1dc48fe8bd44866
1,inner1_train,inner1_validation,19810,9907,2021-01-08 00:00:00,2021-05-25 13:40:00,2021-05-25 13:50:00,2021-05-25 14:00:00,2021-08-02 09:00:00,2021-05-25 14:10:00,2021-08-02 09:10:00,0,0,,0,c637830d4d269106b1c0ccbc869a95104e455aa06fa5c920f07e2a7f83cb9792,bc43489126279e531661ba68b9743fda3502cec95a36ea7ec09692c03ea90a20
3,fit,calibration,29715,9906,2021-01-07 23:40:00,2021-08-02 08:00:00,2021-08-02 08:30:00,2021-08-02 08:50:00,2021-10-10 03:40:00,2021-08-02 09:20:00,2021-10-10 04:10:00,0,0,,0,d245653f52ba66016741583cf542612b29fde554e261b4f0fa6270f760dc7ada,7b1e40754283d2d9c9144efbcdb44852c434152aaa2b63b8b7442cb618548a5f
3,calibration,test,9906,9907,2021-08-02 08:50:00,2021-10-10 03:40:00,2021-10-10 04:10:00,2021-10-10 04:20:00,2021-12-17 23:20:00,2021-10-10 04:50:00,2021-12-17 23:50:00,0,0,,0,7b1e40754283d2d9c9144efbcdb44852c434152aaa2b63b8b7442cb618548a5f,2c56104e38d2b03ffb6873b914346890d589bc0240acd42fd31d3b6d068570b6
3,inner0_train,inner0_validation,9902,9902,2021-01-07 23:40:00,2021-03-17 17:50:00,2021-03-17 18:20:00,2021-03-17 18:30:00,2021-05-25 12:40:00,2021-03-17 19:00:00,2021-05-25 13:10:00,0,0,,0,224c212938ebf4d74fdaf10c4d17a4e36f964f91f8692efea4610e7ad1dfe608,db263981b40846508d608885a705bb8098d7e7d2818e46895735c7ca57b7af84
3,inner1_train,inner1_validation,19804,9905,2021-01-07 23:40:00,2021-05-25 12:40:00,2021-05-25 13:10:00,2021-05-25 13:20:00,2021-08-02 08:00:00,2021-05-25 13:50:00,2021-08-02 08:30:00,0,0,,0,11f2a12231f4b8e50d3deb7d0cc3f02ac16673c23f8ab4f76efcc896f9935227,0aeaba3bd737827b3212fd827591840a37eb9240cd8fc4e0f997dea2140ceedc
6,fit,calibration,29710,9904,2021-01-07 23:10:00,2021-08-02 06:40:00,2021-08-02 07:40:00,2021-08-02 08:10:00,2021-10-10 02:40:00,2021-08-02 09:10:00,2021-10-10 03:40:00,0,0,,0,9bfb1bb756f6482d05f8b29f4641dbd1f296028fc350a4a553d24a36d22e27e9,95f6a9fd9b4c2fa94db7feb83a63fad2a71fd57999295f2197de2469d546764e
6,calibration,test,9904,9907,2021-08-02 08:10:00,2021-10-10 02:40:00,2021-10-10 03:40:00,2021-10-10 03:50:00,2021-12-17 22:50:00,2021-10-10 04:50:00,2021-12-17 23:50:00,0,0,,0,95f6a9fd9b4c2fa94db7feb83a63fad2a71fd57999295f2197de2469d546764e,d49d239e790e4d4ac222855ae25cdaac52374834298fd0a50aea54a1301ed1ee
6,inner0_train,inner0_validation,9897,9897,2021-01-07 23:10:00,2021-03-17 16:30:00,2021-03-17 17:30:00,2021-03-17 17:40:00,2021-05-25 11:00:00,2021-03-17 18:40:00,2021-05-25 12:00:00,0,0,,0,a6403e960745cce991ed91ad4e09c0bacd724edcf9100567e9722ec33b2f0126,eed5d591d2433de344782fb37c677017b7eb2ab643af84f8077edf74ff3bbe2d
6,inner1_train,inner1_validation,19794,9904,2021-01-07 23:10:00,2021-05-25 11:00:00,2021-05-25 12:00:00,2021-05-25 12:10:00,2021-08-02 06:40:00,2021-05-25 13:10:00,2021-08-02 07:40:00,0,0,,0,516702fb97ea5798b6b3bc5e6fdc36d944e45c01996a7abcecafdcfbaf941b2c,f7a48687f85b4b8b0f7e7fc920bb44bc15de33c4f098f554582b76ebe32df731
